index,start_time,end_time,speaker,original_telugu,transliteration
188,"00:11:41,309","00:11:42,500",speaker_5,రాయిరూ బనియంతో ఇంటింటికి,raayiroo baniyantho intintiki
189,"00:11:42,649","00:11:43,879",speaker_5,తిరిగి పాలు పోసిన కాలంలో,thirigi paalu posina kaalamlo
190,"00:11:44,350","00:11:44,960",speaker_5,"అమ్మ పాలు,","amma paalu,"
191,"00:11:45,629","00:11:46,169",speaker_5,"అయ్య పాలు,","ayya paalu,"
192,"00:11:46,769","00:11:47,350",speaker_5,అన్న పాలు,anna paalu
193,"00:11:49,090","00:11:49,830",speaker_2,అవన్నీ okay,avannee okay
194,"00:11:50,789","00:11:51,580",speaker_2,కానీ ఆ చోటు,kaanee aa chotu
195,"00:11:52,090","00:11:52,710",speaker_2,అదేంటి sir?,adhenti sir?
196,"00:12:01,269","00:12:02,519",speaker_5,నా చెల్లెలు కుందన అరసువల్లి.,naa chellelu kundhana arasuvalli.
197,"00:12:05,350","00:12:06,450",speaker_5,మాకు తనే కులదైవం.,maaku thane kuladhaivam.
198,"00:12:09,509","00:12:10,000",speaker_5,మా వంశంలోనే,maa vamshamlone
199,"00:12:11,879","00:12:12,500",speaker_5,మొట్టమొదటిగా నాలుగు,mottamodhatigaa naalugu
200,"00:12:12,549","00:12:13,340",speaker_5,అక్షరాలు చదువుకుంది.,aksharaalu chadhuvukundhi.
201,"00:12:15,186","00:12:16,066",speaker_6,చదివేం ప్రయోజనం.,chadhivem prayojanam.
202,"00:12:17,505","00:12:19,806",speaker_6,కాలు జారి పావిలో పడి అల్ప వయసులోనే పోయిద్ది.,kaalu jaari paavilo padi alpa vayasulone poyidhdhi.
203,"00:12:20,346","00:12:20,846",speaker_7,సారీ సార్,sorry saar
204,"00:12:21,306","00:12:22,355",speaker_6,నేను కష్టాల్లో ఉన్నప్పుడు,nenu kashtaallo unnappudu
205,"00:12:22,966","00:12:23,946",speaker_6,నా పక్కనే ఉండేది.,naa pakkane undedhi.
206,"00:12:25,346","00:12:25,975",speaker_6,కానీ ఈరోజు,kaanee eeroju
207,"00:12:26,466","00:12:27,056",speaker_6,నేను బావున్నప్పుడు,nenu baavunnappudu
208,"00:12:28,166","00:12:28,975",speaker_6,ఇదంతా అనుభవించడానికి,idhanthaa anubhavinchadaaniki
209,"00:12:29,365","00:12:29,885",speaker_6,తను లేదు.,thanu ledhu.
210,"00:12:30,985","00:12:31,326",speaker_6,అందుకే,andhuke
211,"00:12:32,365","00:12:32,916",speaker_6,తన జ్ఞాపకంగా,thana gnaapakangaa
212,"00:12:33,186","00:12:33,745",speaker_6,నా కూతురికి,naa koothuriki
213,"00:12:34,785","00:12:35,836",speaker_6,గుంతరా అని పేరు పెట్టుకున్నాను.,guntharaa ani peru pettukunnaanu.
214,"00:12:43,135","00:12:43,505",speaker_7,అల్లుడు,alludu
215,"00:12:44,865","00:12:45,365",speaker_6,ఎవరు సార్ అతను?,yevaru saar athanu?
216,"00:12:45,426","00:12:45,916",speaker_7,ఆపు చేయవయ్యా,aapu cheyavayyaa
217,"00:12:46,166","00:12:47,186",speaker_7,అతను నా చెల్లెలు కొడుకు,athanu naa chellelu koduku
218,"00:12:47,466","00:12:48,115",speaker_6,ఎవరు సార్?,yevaru saar?
219,"00:12:48,485","00:12:49,686",speaker_7,లేదు లేదు నీకు చెల్లెలు కొడుకు.,ledhu ledhu neeku chellelu koduku.
220,"00:12:50,025","00:12:50,375",speaker_6,అయ్యయ్యో,ayyayyo
221,"00:12:50,725","00:12:52,536",speaker_6,అల్లుడు షర్ట్ లేకుండా ఉన్నాడే ఎండ మండిపోతుందే,alludu shirt lekundaa unnaade yenda mandipothundhe
222,"00:12:53,655","00:12:54,306",speaker_6,అల్లుడు ఏంటి,alludu yenti
223,"00:12:54,355","00:12:54,725",speaker_6,ఈ అవతారం,ee avathaaram
224,"00:12:55,466","00:12:55,566",speaker_6,ఆ?,aa?
225,"00:12:56,245","00:12:57,365",speaker_7,ఇప్పుడు ఎందుకు మావయ్య నన్ను పిలిచారు,ippudu yendhuku maavayya nannu pilichaaru
226,"00:12:57,546","00:12:57,896",speaker_6,అదేంటంటే,adhentante
227,"00:12:58,926","00:13:00,985",speaker_6,పార్టీ మీటింగ్ పని మీద తమిళనాడు వెళ్ళాను.,party meeting pani meedha thamilanaadu vellaanu.
228,"00:13:01,995","00:13:02,696",speaker_6,తమిళనాడులో మక్రోన్,thamilanaadulo makron
229,"00:13:02,745","00:13:03,396",speaker_6,స్పెషల్ కదా.,special kadhaa.
230,"00:13:03,706","00:13:04,586",speaker_6,ఏయ్ ఇటు ఇవ్వండి.,yey itu ivvandi.
231,"00:13:05,765","00:13:08,576",speaker_6,మీ అమ్మాయికి ఇష్టమైనది తీసుకు వచ్చాను. తీసుకెళ్లి ఇవ్వు ఆశగా తింటుంది.,mee ammaayiki ishtamainadhi theesuku vachhaanu. theesukelli ivvu aashagaa thintundhi.
232,"00:13:08,946","00:13:10,166",speaker_6,నేను ఇచ్చానని చెప్పకు అల్లుడు,nenu ichhaanani cheppaku alludu
233,"00:13:11,025","00:13:11,645",speaker_6,ఆ వయసు పడుతుంది.,aa vayasu paduthundhi.
234,"00:13:18,066","00:13:18,365",speaker_7,Thank you,Thank you
235,"00:13:19,966","00:13:20,525",speaker_6,ఉండు అల్లుడు,undu alludu
236,"00:13:21,206","00:13:21,985",speaker_6,నీకు ఒక ఐటమ్ ఉంది.,neeku oka item undhi.
237,"00:13:22,666","00:13:23,326",speaker_6,ఇటు ఇవ్వయ్యా.,itu ivvayyaa.
238,"00:13:25,546","00:13:25,896",speaker_6,ఆదిశేషు.,aadhisheshu.
239,"00:13:29,666","00:13:30,836",speaker_6,ఇలా ఖాళీగా తిరిగే బదులు,ilaa khaaleegaa thirige badhulu
240,"00:13:31,346","00:13:31,896",speaker_6,ఇది తీసుకుని,idhi theesukuni
241,"00:13:32,426","00:13:33,785",speaker_6,ఏదైనా వ్యాపారం పెట్టేయ్ వారా చూడు.,yedhainaa vyaapaaram pettey vaaraa choodu.
242,"00:13:34,525","00:13:36,086",speaker_6,అప్పుడే కదా తాళి తెంచే టైం ఉండదు.,appude kadhaa thaali thenche taim undadhu.
243,"00:13:36,666","00:13:37,596",speaker_8,ఖాళీగా ఎవరు తిరుగుతున్నారు?,khaaleegaa yevaru thiruguthunnaaru?
244,"00:13:38,046","00:13:38,985",speaker_8,వాడు Entrepreneur నాన్న,vaadu Entrepreneur naanna
245,"00:13:39,846","00:13:40,196",speaker_6,ఆహా!,aahaa!
246,"00:13:41,086","00:13:41,816",speaker_6,వీడొక పనికిమాలినోడు,veedoka panikimaalinodu
247,"00:13:42,485","00:13:43,516",speaker_6,నువ్వు వీడికి assistant పనికిమాలినదానివా?,nuvvu veediki assistant panikimaalinadhaanivaa?
248,"00:13:45,005","00:13:45,355",speaker_6,అల్లుడు,alludu
249,"00:13:46,206","00:13:47,385",speaker_6,ఒకడు జాలిగా తిరగొచ్చు,okadu jaaligaa thiragochhu
250,"00:13:48,105","00:13:50,176",speaker_6,కానీ జాలిగా తిరగడాన్నే పని అనుకుంటే ఎలా?,kaanee jaaligaa thiragadaanne pani anukunte yelaa?
251,"00:13:52,846","00:13:53,196",speaker_7,మావయ్యా!,maavayyaa!
252,"00:13:54,245","00:13:55,995",speaker_7,నా Bible లో జాలిగా చేస్తేనే అది పని.,naa Bible lo jaaligaa chesthene adhi pani.
253,"00:13:56,466","00:13:57,135",speaker_7,లేదంటే అది భారం.,ledhante adhi bhaaram.
254,"00:13:59,125","00:13:59,546",speaker_7,ఆహ్,aah
255,"00:14:00,645","00:14:01,975",speaker_7,Office కి time అయింది.,Office ki time ayindhi.
256,"00:14:03,216","00:14:04,056",speaker_7,ఆహ్ ఉమ్,aah um
257,"00:14:04,826","00:14:05,125",speaker_7,ఉమ్,um
