index,start_time,end_time,original_telugu,transliteration
26,"00:04:55,240","00:04:56,819",నేను చేస్తా రా నువ్వు పోయి డబ్బులు తీసుకురా పో,nenu chesthaa raa nuvvu poyi dabbulu theesukuraa po
27,"00:04:59,560","00:05:02,330",ఈ కోమలి గాడు super అయ్యా అవును సార్ అవును సార్ ఈ సినిమా blockbuster,ee komali gaadu super ayyaa avunu saar avunu saar ee sinimaa blockbuster
28,"00:05:02,620","00:05:02,839",hit,hit
29,"00:05:03,709","00:05:04,050",అవును పొర,avunu pora
30,"00:05:04,100","00:05:06,300",మన banner కి మంచి director దొరికాడు అయ్యా.,mana banner ki manchi director dhorikaadu ayyaa.
31,"00:05:06,350","00:05:06,700",అన్ని,anni
32,"00:05:07,120","00:05:08,770",మంచి మంచి సినిమాలే తీసాం మనం.,manchi manchi sinimaale theesaam manam.
33,"00:05:09,480","00:05:10,470","నువ్వు నేను మంచి,","nuvvu nenu manchi,"
34,"00:05:11,060","00:05:12,390","నేను కావాలా మంచి కావాలా,","nenu kaavaalaa manchi kaavaalaa,"
35,"00:05:13,060","00:05:15,210",మంచి మాటలే వాడికి ఎప్పుడూ మంచే జరుగుతుంది.,manchi maatale vaadiki yeppudoo manche jaruguthundhi.
36,"00:05:15,879","00:05:18,538",ఆ కోమలి గాడు కూడా మంచోడే నయ్యా. సినిమా complete చేయడానికి ఇంకా,aa komali gaadu koodaa manchode nayyaa. sinimaa complete cheyadaaniki inkaa
37,"00:05:18,600","00:05:20,050",నాలుగు కోట్లు కావాలి సార్. ఆ,naalugu kotlu kaavaali saar. aa
38,"00:05:20,500","00:05:21,310",పరమ దుర్మార్గుడే,parama dhurmaargude
39,"00:05:21,560","00:05:21,910",వాడు,vaadu
40,"00:05:22,100","00:05:23,210",song కి నాలుగు కోట్లు ఇచ్చాడు,song ki naalugu kotlu ichhaadu
41,"00:05:23,379","00:05:25,849",fight కి నాలుగు కోట్లు ఇచ్చాడు. అసలు budget ఎన్ని చెప్పాడు వాడు.,fight ki naalugu kotlu ichhaadu. asalu budget yenni cheppaadu vaadu.
42,"00:05:25,899","00:05:28,389",చెప్పింది కూడా నాలుగు కోట్ల ఏ సార్. పాముకు పాల ప్యాకెట్ పోసి పెంచినట్టయింది,cheppindhi koodaa naalugu kotla ye saar. paamuku paala pyaaket posi penchinattayindhi
43,"00:05:28,439","00:05:29,050",సార్ మా పరిస్థితి.,saar maa paristhithi.
44,"00:05:29,410","00:05:30,570",అసలైతే డబ్బులు లేవు సార్.,asalaithe dabbulu levu saar.
45,"00:05:30,759","00:05:32,800",పాల ప్యాకెట్ గా అది కాదు సార్ మొన్నటికి మొన్న,paala pyaaket gaa adhi kaadhu saar monnatiki monna
46,"00:05:33,279","00:05:34,990",భూమి పెరగక ముందు శేఖూపేటలో మన flat అమ్మేసాం.,bhoomi peragaka mundhu shekhoopetalo mana flat ammesaam.
47,"00:05:35,180","00:05:35,530",పెరిగాక,perigaaka
48,"00:05:36,000","00:05:37,710",శంషాబాద్ లో land అమ్మేసాం సార్ ఆ ఓకే,shamshaabaadh lo land ammesaam saar aa oke
49,"00:05:38,060","00:05:39,290",ఒక flat అశ్విన్ దత్ కి అమ్మేసాం.,oka flat ashvin dhath ki ammesaam.
50,"00:05:39,680","00:05:41,468",అదే flat ఆయనకు తెలియకుండా సుప్ర దత్ కి అమ్మేసాం.,adhe flat aayanaku theliyakundaa supra dhath ki ammesaam.
51,"00:05:42,500","00:05:42,850",సార్!,saar!
52,"00:05:49,720","00:05:49,920",ఏంటి,yenti
53,"00:05:50,560","00:05:51,310",stress వచ్చి పడ్డాడా,stress vachhi paddaadaa
54,"00:05:53,839","00:05:54,600",stress వచ్చి పడిపోయాడా,stress vachhi padipoyaadaa
55,"00:05:55,259","00:05:55,959",ఏయ్ చట్నీ,yey chatnee
56,"00:05:59,709","00:06:00,730",ఎన్ని సార్లు చెప్పాను రా,yenni saarlu cheppaanu raa
57,"00:06:01,259","00:06:02,290",మనకి సినిమాలు వద్దు,manaki sinimaalu vadhdhu
58,"00:06:02,759","00:06:04,629",ఏ బట్టల షాపో బంగారం షాపో పెట్టుకుందాం,ye battala shaapo bangaaram shaapo pettukundhaam
59,"00:06:04,769","00:06:05,180",అని.,ani.
60,"00:06:06,213","00:06:06,803",చిన్నప్పుడు అమ్మ,chinnappudu amma
61,"00:06:06,863","00:06:09,094",చెప్పిన మాట వినలేదు రా మనం ఏం చెప్పారండి,cheppina maata vinaledhu raa manam yem cheppaarandi
62,"00:06:09,343","00:06:09,834",మీ అమ్మగారు,mee ammagaaru
63,"00:06:10,184","00:06:11,213",చెప్పాను కదా వినలేదని,cheppaanu kadhaa vinaledhani
64,"00:06:13,124","00:06:15,734",మన సినిమాలు చూసి audience stress వచ్చి పడిపోయినా ఓకే గాని,mana sinimaalu choosi audience stress vachhi padipoyinaa oke gaani
65,"00:06:15,923","00:06:17,134",మనకి stress వచ్చి పడటం ఏంటండీ,manaki stress vachhi padatam yentandee
66,"00:06:17,504","00:06:18,603",ఎంత ధైర్యంగా ఉండాలి,yentha dhairyangaa undaali
67,"00:06:19,103","00:06:21,074",stunt ఎవరు వేస్తున్నారు stunt రామలక్ష్మణ్,stunt yevaru vesthunnaaru stunt raamalaksha్man
68,"00:06:21,223","00:06:21,574",అనుకుంటున్నారండి,anukuntunnaarandi
69,"00:06:21,723","00:06:22,074",ఏమండీ,yemandee
70,"00:06:22,483","00:06:23,314",ఆ stunt గురించి కాదండి,aa stunt gurinchi kaadhandi
71,"00:06:23,564","00:06:24,194",hearts లో వేస్తారే,hearts lo vesthaare
72,"00:06:24,403","00:06:27,353",ఆ stunt గురించి ఓ అరే అసలు ఇవాళ మనలాంటి ఒక producer stress వచ్చి,aa stunt gurinchi o are asalu ivaala manalaanti oka producer stress vachhi
73,"00:06:27,403","00:06:29,234",పడిపోతే కారణం ఏమండీ ఆ కోమలి గాడు,padipothe kaaranam yemandee aa komali gaadu
74,"00:06:29,584","00:06:30,994",ప్రాణం పెట్టి సినిమా తీస్తాడు సార్,praanam petti sinimaa theesthaadu saar
75,"00:06:31,283","00:06:32,054",అది వాడి ప్రాణమో,adhi vaadi praanamo
76,"00:06:32,483","00:06:33,613",producer ప్రాణమో తెలీదు,producer praanamo theleedhu
77,"00:06:53,433","00:06:53,973",ఇప్పుడెలా ఉంది,ippudelaa undhi
78,"00:06:54,024","00:06:54,704",నాన్న అబ్బబ్బబ్బో,naanna abbabbabbo
79,"00:06:57,193","00:06:58,264",torture పెట్టేసాడమ్మా,torture pettesaadammaa
80,"00:06:58,343","00:06:58,944",కోమలి గాడు,komali gaadu
81,"00:07:00,684","00:07:02,094",డబ్బు మొత్తం ఖర్చు పెట్టేసాడు.,dabbu moththam kharchu pettesaadu.
82,"00:07:04,004","00:07:04,794",నరకం చూపించేసాడమ్మా.,narakam choopinchesaadammaa.
83,"00:07:06,423","00:07:06,774",నాలుగు,naalugu
84,"00:07:07,064","00:07:07,414",నాలుగు,naalugu
85,"00:07:07,663","00:07:08,014",నాలుగు,naalugu
86,"00:07:08,204","00:07:09,874",నాలుగు అని నలభై కోట్లు చేశాడమ్మా,naalugu ani nalabhai kotlu cheshaadammaa
87,"00:07:10,144","00:07:10,494",budget.,budget.
88,"00:07:11,043","00:07:11,393",ఈడికి.,eediki.
89,"00:07:12,913","00:07:13,634",చివరికి కొబ్బరి,chivariki kobbari
90,"00:07:13,723","00:07:14,074",బొండంలో,bondamlo
91,"00:07:14,343","00:07:15,054",కొబ్బరి లేదని,kobbari ledhani
92,"00:07:15,863","00:07:16,213",schedule,schedule
93,"00:07:16,524","00:07:17,314",ప్యాకప్ చేసేసాడమ్మా,pyaakap chesesaadammaa
94,"00:07:20,983","00:07:21,694",ఇంత జరుగుతుంటే,intha jaruguthunte
95,"00:07:22,004","00:07:23,124",నాకెందుకు చెప్పలేదు బాలాజీ,naakendhuku cheppaledhu baalaajee
96,"00:07:23,704","00:07:25,634",ఇంత జరిగాకే మాకు తెలిసింది మేడం ఇంత జరిగిందని,intha jarigaake maaku thelisindhi medam intha jarigindhani
97,"00:07:25,983","00:07:27,403",వాణ్ని మనం ఏం చేయలేమా బాలాజీ,vaanni manam yem cheyalemaa baalaajee
98,"00:07:28,024","00:07:28,244",మేడం,medam
99,"00:07:29,124","00:07:31,074",మన మంచి బ్యానర్ సంగతి కాసేపు పక్కన పెడితే,mana manchi byaanar sangathi kaasepu pakkana pedithe
100,"00:07:31,543","00:07:33,653",north నుంచి train లో నలభై మంది అలా,north nunchi train lo nalabhai mandhi alaa
101,"00:07:33,803","00:07:34,153",వస్తారు,vasthaaru
102,"00:07:36,303","00:07:37,354",train లో అలా వెళ్లిపోతారు,train lo alaa vellipothaaru
103,"00:07:38,163","00:07:39,494",అంటే వీణ్ని మనం train ఎక్కించాలా,ante veenni manam train yekkinchaalaa
104,"00:07:40,103","00:07:42,074",వాళ్ళ పని వాళ్ళు చేసి వెళ్లిపోతారని చెప్తున్నాను మేడం,vaalla pani vaallu chesi vellipothaarani chepthunnaanu medam
105,"00:07:42,223","00:07:44,074",వాణ్ని ఎలా handle చేయాలో నాకు తెలుసు.,vaanni yelaa handle cheyaalo naaku thelusu.
106,"00:07:44,663","00:07:45,274",వాణ్ని పిలిపించండి,vaanni pilipinchandi
107,"00:07:48,233","00:07:48,843",ఎక్కడున్నాడో ఈ,yekkadunnaado ee
108,"00:07:48,923","00:07:49,723",stress కా దాస్,stress kaa dhaas
109,"00:07:51,324","00:07:53,213",విజ్ఞాన్ public school annual day కి,vignaan public school annual day ki
110,"00:07:53,463","00:07:54,254",guest గా విచ్చేయుచున్న,guest gaa vichheyuchunna
111,"00:07:54,663","00:07:55,653",star director కోమలి.,star director komali.
112,"00:08:00,283","00:08:01,394",మన school లోనే చదువుకొని,mana school lone chadhuvukoni
113,"00:08:01,903","00:08:02,634",ఎందుకు పనికిరాడనుకున్న,yendhuku panikiraadanukunna
114,"00:08:03,024","00:08:03,374",కోమలి,komali
115,"00:08:03,744","00:08:05,054",చివరికి పనికి రావడమే కాకుండా,chivariki paniki raavadame kaakundaa
116,"00:08:05,584","00:08:07,734",మన school కి guest గా రావటం చాలా గర్వకారణంగా,mana school ki guest gaa raavatam chaalaa garvakaaranangaa
117,"00:08:07,983","00:08:08,334",ఉంది.,undhi.
118,"00:08:11,543","00:08:13,094",తన విలువైన సమయాన్ని మనకు కేటాయించిన,thana viluvaina samayaanni manaku ketaayinchina
119,"00:08:13,663","00:08:14,954",top star director కోమలికి,top star director komaliki
120,"00:08:15,423","00:08:15,774",స్వాగతం,svaagatham
121,"00:08:16,343","00:08:16,693",సుస్వాగతం.,susvaagatham.
122,"00:08:25,843","00:08:26,594",Good morning పిల్లలు.,Good morning pillalu.
123,"00:08:27,744","00:08:30,394",నేను ఈరోజు ఇంత పెద్ద director కావడానికి కారణం ఈ school లో చదువుకోవడమే.,nenu eeroju intha pedhdha director kaavadaaniki kaaranam ee school lo chadhuvukovadame.
124,"00:08:31,684","00:08:33,014",ఈ school లో చదువుకున్నాను కాబట్టే,ee school lo chadhuvukunnaanu kaabatte
125,"00:08:34,083","00:08:35,334",నాకు చదువు అంటే విరక్తి పుట్టింది.,naaku chadhuvu ante virakti puttindhi.
126,"00:08:36,504","00:08:37,653",అందుకే నేను సినిమాల్లోకి వెళ్ళినా.,andhuke nenu sinimaalloki vellinaa.
127,"00:08:38,764","00:08:41,094",ఎప్పుడూ నవ్వుతూ మన ground లో తిరిగే రామచంద్ర సార్.,yeppudoo navvuthoo mana ground lo thirige raamachandhra saar.
128,"00:08:42,364","00:08:42,954",ఆయన చచ్చిపోవడమే,aayana chachhipovadame
129,"00:08:43,124","00:08:44,194",నాకు చాలా బాధ ఉంది.,naaku chaalaa baadha undhi.
130,"00:08:45,083","00:08:45,703",ఆ ఆ బాబు,aa aa baabu
131,"00:08:46,183","00:08:47,104",ఆయన ఇంకా బతికే ఉన్నారు,aayana inkaa bathike unnaaru
132,"00:08:48,244","00:08:48,504",హా,haa
133,"00:08:49,104","00:08:51,104",మరి పోయింది ఎవరు ప్రతాప్ రెడ్డి ఆ అది నేనే బాబు,mari poyindhi yevaru prathaap reddi aa adhi nene baabu
134,"00:08:53,293","00:08:54,314",ఓకే క్షమించాలి,oke kshaminchaali
135,"00:08:54,364","00:08:54,714",క్షమించాలి.,kshaminchaali.
136,"00:08:55,464","00:08:57,323",ఈ school లో చదివినోడు రేపు పొద్దున్న దొంగ అవ్వచ్చు,ee school lo chadhivinodu repu podhdhunna dhonga avvachhu
137,"00:08:57,903","00:08:58,954",ఇంకొకడు police అవ్వచ్చు.,inkokadu police avvachhu.
138,"00:08:59,864","00:09:02,293",కానీ రేపు దొంగ police గా మీరు ఎదురెదురు పడితే,kaanee repu dhonga police gaa meeru yedhuredhuru padithe
139,"00:09:05,344","00:09:05,694",కర్తవ్యమా,karthavyamaa
140,"00:09:07,264","00:09:07,614",స్నేహమా,snehamaa
141,"00:09:09,144","00:09:11,454",లేదా లంచం తీసుకొని వదిలేయడమా అది మీ convenience,ledhaa lancham theesukoni vadhileyadamaa adhi mee convenience
142,"00:09:11,844","00:09:12,194",చూసుకోండి.,choosukondi.
143,"00:09:15,683","00:09:17,394",Listen carefully అంతే కాదు మామ,Listen carefully anthe kaadhu maama
144,"00:09:17,663","00:09:19,224",ఈ producer stress వచ్చి పడ్డాడంట ఉమ్,ee producer stress vachhi paddaadanta um
145,"00:09:21,384","00:09:22,283",ఎవరు చేసిన పాపము,yevaru chesina paapamu
146,"00:09:22,903","00:09:24,173",నా producer stress వచ్చి పడ్డాడు.,naa producer stress vachhi paddaadu.
147,"00:09:25,024","00:09:25,673",సో నేను వెళ్తున్నా,so nenu velthunnaa
148,"00:09:26,344","00:09:27,383",ఎదురు చూస్తున్నారు నాకోసం,yedhuru choosthunnaaru naakosam
149,"00:09:28,303","00:09:29,314",మీరు కూడా వెళ్ళిపోండి.,meeru koodaa vellipondi.
150,"00:09:31,344","00:09:33,293",ఒరేయ్ ఆగండ్రా ఇంకా police గారు మాట్లాడలేదు.,orey aagandraa inkaa police gaaru maatlaadaledhu.
151,"00:09:33,724","00:09:36,413",అసలు ఈ stress నాకు ఏ సంబంధం లేనట్టుగా ఒకడు వస్తున్నాడు చూడండి,asalu ee stress naaku ye sambandham lenattugaa okadu vasthunnaadu choodandi
152,"00:09:36,844","00:09:38,254",వాడే director హాయ్.,vaade director haay.
153,"00:09:40,323","00:09:41,134",ఏమైందండి నాన్నగారికి,yemaindhandi naannagaariki
154,"00:09:42,203","00:09:43,933",పాపం నలుగురికి అన్నం పెట్టే వ్యక్తే గానీ,paapam naluguriki annam pette vyakte gaanee
155,"00:09:44,352","00:09:45,394",అంటే curry మేము తెచ్చుకుంటుంటే,ante curry memu thechhukuntunte
156,"00:09:45,844","00:09:47,543",కొందరు pay card లో డబ్బులు పోయినాయ్ అంటున్నారు,kondharu pay card lo dabbulu poyinaay antunnaaru
157,"00:09:48,104","00:09:49,514",ఇంకొందరేమో ఆస్తి తగాదాలు అంటున్నారు.,inkondharemo aasthi thagaadhaalu antunnaaru.
158,"00:09:50,083","00:09:51,334",దీన్ని exactly ఎట్లా చూడొచ్చండి,dheenni exactly yetlaa choodochhandi
159,"00:09:51,744","00:09:53,954",మీరు ఎలాగైనా చూడండి కానీ producer గారు మాత్రం చూడకండి,meeru yelaagainaa choodandi kaanee producer gaaru maathram choodakandi
160,"00:09:54,124","00:09:55,614",అది కాదండి పిలిచారు కదా చూడమని,adhi kaadhandi pilichaaru kadhaa choodamani
161,"00:09:55,803","00:09:56,153",పిలిచింది,pilichindhi
162,"00:09:56,644","00:09:58,394",నువ్వు చూడ్డానికి కాదు నిన్ను చూడ్డానికి.,nuvvu chooddaaniki kaadhu ninnu chooddaaniki.
163,"00:09:59,303","00:10:00,774",ఎంత కుమిలిపోయి ఉంటాడురా మా daddy,yentha kumilipoyi untaaduraa maa daddy
164,"00:10:01,443","00:10:02,293",నీ వల్లేరా ఇదంతా,nee valleraa idhanthaa
165,"00:10:02,543","00:10:02,894",నా,naa
166,"00:10:03,943","00:10:04,264",హలో,halo
167,"00:10:05,283","00:10:07,334",నా వల్ల ఏంటి మీ family problems లో నన్ను లాక్కండి,naa valla yenti mee family problems lo nannu laakkandi
168,"00:10:07,984","00:10:10,923",లేదా ఆయన్నే film nagar club కి పోయి పత్తాలు ఆడేటప్పుడు జాక్ బదులు,ledhaa aayanne film nagar club ki poyi paththaalu aadetappudu jaak badhulu
169,"00:10:10,984","00:10:13,024",ఆస్ వేసుంటాడు ఆస్తులన్నీ పోయి ఉంటాయి ఆ,aas vesuntaadu aasthulannee poyi untaayi aa
170,"00:10:14,264","00:10:15,274",దానికి నన్నెందుకు లాగుతారండి,dhaaniki nannendhuku laaguthaarandi
171,"00:10:16,083","00:10:16,913",అసలు అసలు మాట్లాడొద్దు,asalu asalu maatlaadodhdhu
172,"00:10:17,083","00:10:17,533",రా నువ్వు,raa nuvvu
173,"00:10:17,744","00:10:18,783",first వెళ్ళిపో ఇక్కడి నుంచి,first vellipo ikkadi nunchi
174,"00:10:19,403","00:10:19,754",ఓహో,oho
175,"00:10:20,443","00:10:21,883",producer daughter tantrums ఆ,producer daughter tantrums aa
176,"00:10:23,683","00:10:24,864",నా producer sir కిల్ చేస్తావా,naa producer sir kil chesthaavaa
177,"00:10:25,524","00:10:27,004",ఆ Dil Raju కి phone చెయ్యమంటావా,aa Dil Raju ki phone cheyyamantaavaa
178,"00:10:28,764","00:10:29,244",hello sir,hello sir
179,"00:10:29,884","00:10:30,124",hello,hello
180,"00:10:30,864","00:10:33,334",sir నాకు ఒక doubt sir first cinema మధ్యలో వదిలేసి second cinema,sir naaku oka doubt sir first cinema madhyalo vadhilesi second cinema
181,"00:10:33,384","00:10:33,803",చెయ్యొచ్చా,cheyyochhaa
182,"00:10:34,464","00:10:37,714",నాకొక doubt అయ్యా నీ number block చేశాను కదా మళ్ళీ ఎలా connect,naakoka doubt ayyaa nee number block cheshaanu kadhaa mallee yelaa connect
183,"00:10:37,764","00:10:38,104",అయింది,ayindhi
184,"00:10:38,994","00:10:39,614",ఉ ఒక్క,u okka
185,"00:10:39,663","00:10:42,793",నిమిషం ఉండు ఇప్పుడు మళ్ళీ block చేస్తా నువ్వు try చెయ్ కలుస్తుందేమో,nimisham undu ippudu mallee block chesthaa nuvvu try chey kalusthundhemo
186,"00:10:43,043","00:10:43,364",చూద్దాం,choodhdhaam
187,"00:10:45,344","00:10:45,524",ఉ,u
188,"00:10:47,764","00:10:48,524",ఆగ ఆయనకి చేస్తా,aaga aayanaki chesthaa
189,"00:10:49,163","00:10:49,333",ఉహు,uhu
190,"00:10:52,884","00:10:53,683",Sir నమస్తే,Sir namasthe
191,"00:10:54,083","00:10:54,634",ఆ కోమలి,aa komali
192,"00:10:55,083","00:10:57,783",Sir నా దగ్గర మంచి love story ఉంది మనం సినిమా చేద్దాం sir love,Sir naa dhaggara manchi love story undhi manam sinimaa chedhdhaam sir love
193,"00:10:57,864","00:10:58,474",story వద్దబ్బా,story vadhdhabbaa
194,"00:10:58,764","00:11:01,563",ఏదైనా మంచి action story ఉంటే చెప్పు action action ఉంది sir action,yedhainaa manchi action story unte cheppu action action undhi sir action
195,"00:11:01,624","00:11:02,454",story ఉంది నా దగ్గర,story undhi naa dhaggara
196,"00:11:02,844","00:11:06,524",ఓ action కూడా ఉందా నీ దగ్గర మన దగ్గర లేనిదేంటి అయితే మన thriller,o action koodaa undhaa nee dhaggara mana dhaggara lenidhenti ayithe mana thriller
197,"00:11:06,923","00:11:07,734",thriller అయితే,thriller ayithe
198,"00:11:08,004","00:11:08,894",thriller సినిమా చేద్దామనుకుంటున్నా,thriller sinimaa chedhdhaamanukuntunnaa
199,"00:11:09,264","00:11:09,933",ఈ మధ్య నేను,ee madhya nenu
200,"00:11:10,114","00:11:13,274",ఉ నీ దగ్గర లేదు కదా అది అర్థమైంది sir ఇంకోటి film nagar చుట్టుపక్కల,u nee dhaggara ledhu kadhaa adhi arthamaindhi sir inkoti film nagar chuttupakkala
201,"00:11:13,323","00:11:13,913",ఎక్కడా తిరగమాకు,yekkadaa thiragamaaku
202,"00:11:14,203","00:11:16,864",కనబడితే కొట్టేటట్టు ఉన్నారు నిన్ను okay నా okay sir,kanabadithe kottetattu unnaaru ninnu okay naa okay sir
203,"00:11:18,624","00:11:20,453",చేయ్ రా చెయ్ ఇంకెవరికి call చేస్తావో చెయ్,chey raa chey inkevariki call chesthaavo chey
204,"00:11:21,884","00:11:22,114",మనం,manam
205,"00:11:22,884","00:11:23,814",మనం కూర్చొని మాట్లాడుకుందాం,manam koorchoni maatlaadukundhaam
206,"00:11:23,964","00:11:25,354",కదా మంచిగా ఈ కూర్చొని,kadhaa manchigaa ee koorchoni
207,"00:11:25,504","00:11:25,854",మాట్లాడుకోవడాలు,maatlaadukovadaalu
208,"00:11:26,504","00:11:27,254",నిలబడి చమ్మచక్కలు,nilabadi chammachakkalu
209,"00:11:27,423","00:11:27,774",ఆడుకోవడాలు,aadukovadaalu
210,"00:11:28,303","00:11:29,203",అవన్నీ ఏం లేవు,avannee yem levu
211,"00:11:30,163","00:11:30,514",security,security
212,"00:11:31,443","00:11:34,554",sir చెప్పండి sir ఆ చెప్తా లే నడు అరేయ్ ఆగురా నువ్వు sir చెప్పండి,sir cheppandi sir aa chepthaa le nadu arey aaguraa nuvvu sir cheppandi
213,"00:11:34,604","00:11:35,203",sir ఏ ఏ ఒక్క నిమిషం,sir ye ye okka nimisham
214,"00:11:35,764","00:11:36,114",రేయ్,rey
215,"00:11:37,183","00:11:39,474",అవునురా సినిమాలో మా తాత photo పెడితే,avunuraa sinimaalo maa thaatha photo pedithe
216,"00:11:39,624","00:11:39,974",తీసేసావంట,theesesaavanta
217,"00:11:40,504","00:11:40,783",ఎందుకు,yendhuku
218,"00:11:41,923","00:11:43,954",అంటే మీ తాతని చూస్తే కొంచెం cheap look వస్తుందని,ante mee thaathani choosthe konchem cheap look vasthundhani
219,"00:11:44,484","00:11:44,823",Get out,Get out
220,"00:11:45,543","00:11:46,254",పోరా బయటికి,poraa bayatiki
221,"00:11:47,764","00:11:47,864",రేయ్,rey
222,"00:11:48,583","00:11:48,683",రేయ్ రేయ్,rey rey
223,"00:11:59,224","00:12:01,494",అయినా budget పెరిగింది budget పెరిగింది అంటే ఎందుకు పెరగదరా,ayinaa budget perigindhi budget perigindhi ante yendhuku peragadharaa
224,"00:12:02,024","00:12:04,384",అరే ఒక director వచ్చి పది కోట్లు చెప్తే పదిహేను కోట్లు అయితది,are oka director vachhi padhi kotlu chepthe padhihenu kotlu ayithadhi
225,"00:12:04,703","00:12:06,994",పదిహేను కోట్లు చెప్తే ఇరవై కోట్లు అయితది అని prepare అయి ఉండాలి,padhihenu kotlu chepthe iravai kotlu ayithadhi ani prepare ayi undaali
226,"00:12:07,043","00:12:07,394",వీళ్ళు.,veellu.
227,"00:12:07,583","00:12:07,933",వీడా,veedaa
228,"00:12:08,183","00:12:08,583",problem,problem
229,"00:12:09,043","00:12:09,994",ఆయనకి stress రావడం,aayanaki stress raavadam
230,"00:12:10,384","00:12:12,033",నేను budget పెంచినందుకు రాలేదు మరి,nenu budget penchinandhuku raaledhu mari
231,"00:12:12,244","00:12:12,913",ఆయన పెరుగుతదని,aayana peruguthadhani
232,"00:12:13,063","00:12:13,854",prepare కాలేదు చూసినావాఅందుకు,prepare kaaledhu choosinaavaaandhuku
233,"00:12:15,183","00:12:17,194",వచ్చింది ఆ తప్పు hundred percent అయింది.,vachhindhi aa thappu hundred percent ayindhi.
234,"00:12:17,604","00:12:18,394",ఇంకా decide అయిపోయినారా?,inkaa decide ayipoyinaaraa?
235,"00:12:19,783","00:12:20,874",ఆ producer ఉన్నాడు చూసినావా?,aa producer unnaadu choosinaavaa?
236,"00:12:21,764","00:12:22,494",ఆ వాడి కూతుర్ని,aa vaadi koothurni
237,"00:12:22,964","00:12:23,314",మామా,maamaa
238,"00:12:23,484","00:12:23,834",నేను,nenu
239,"00:12:24,203","00:12:24,553",ఆ,aa
240,"00:12:25,043","00:12:25,793","ఏం చేస్తా,","yem chesthaa,"
241,"00:12:25,964","00:12:27,053",నా BP గిట్ల లేసిందనుకో,naa BP gitla lesindhanuko
242,"00:12:27,323","00:12:29,814",వద్దు మామ ఆమె కళ్ళ మీద పడైనా సినిమా చేస్తారా నేను.,vadhdhu maama aame kalla meedha padainaa sinimaa chesthaaraa nenu.
243,"00:12:29,864","00:12:31,153",కళ్ళ మీద పడైనా సినిమా చేస్తా.,kalla meedha padainaa sinimaa chesthaa.
244,"00:12:31,563","00:12:32,214",చిత్ర గారు చిత్ర గారు,chithra gaaru chithra gaaru
245,"00:12:36,293","00:12:36,884",ఒక్కసారి నో,okkasaari no
246,"00:12:36,933","00:12:38,114",అన్నాక వెంటపడి విసిగిస్తుంటే,annaaka ventapadi visigisthunte
