index,start_time,end_time,speaker,original_telugu,transliteration,Actors
112,"00:04:59,259","00:05:01,770",speaker_2,మళ్ళీ నా జోలికి కానీ నా friend జోలికి కానీ వస్తే,mallee naa joliki kaanee naa friend joliki kaanee vasthe,#Ragini
113,"00:05:02,220","00:05:02,570",speaker_2,పతకావు,pathakaavu,#Ragini
114,"00:05:04,500","00:05:06,629",speaker_4,షివ్ శంభో హే శివ్ శంభో,shiv shambho he shiv shambho,
115,"00:05:07,300","00:05:08,160",speaker_4,హే హే శివ్,he he shiv,
116,"00:05:08,949","00:05:09,519",speaker_4,శంభో హే,shambho he,
117,"00:05:09,839","00:05:10,710",speaker_4,శివ్ శంభో,shiv shambho,
118,"00:05:11,360","00:05:12,279",speaker_4,హే హే శివ్,he he shiv,
119,"00:05:13,029","00:05:13,540",speaker_4,శంభో హే,shambho he,
120,"00:05:13,939","00:05:14,810",speaker_4,శివ్ శంభో,shiv shambho,
121,"00:05:15,279","00:05:15,629",speaker_1,Good,Good,#Tanikella Bharani
122,"00:05:37,680","00:05:38,139",speaker_1,morning sir,morning sir,#Tanikella Bharani
123,"00:05:38,259","00:05:39,319",speaker_4,మ్మ్ bad morning,mm bad morning,
124,"00:05:39,720","00:05:41,819",speaker_4,నాలుగు గంటలకు వెళ్లి పడుకున్నాను ఆరు గంటలకు నీ phone,naalugu gantalaku velli padukunnaanu aaru gantalaku nee phone,
125,"00:05:42,740","00:05:44,240",speaker_4,కళ్ళ కింద black circles వస్తున్నాయి చూడు,kalla kindha black circles vasthunnaayi choodu,
126,"00:05:44,420","00:05:44,699",speaker_1,అవును sir,avunu sir,#Tanikella Bharani
127,"00:05:45,289","00:05:46,160",speaker_4,మ్మ్ ఎంతమంది,mm yenthamandhi,
128,"00:05:46,399","00:05:48,510",speaker_1,"నలుగురు sir అందరూ రసూల్ గ్యాంగ్ ఏ సల్మాన్,","naluguru sir andharoo rasool gyaang ye salmaan,",#Tanikella Bharani
129,"00:05:48,699","00:05:49,050",speaker_1,"రషీద్,","rasheedh,",#Tanikella Bharani
130,"00:05:49,220","00:05:49,570",speaker_1,"బంటి,","banti,",#Tanikella Bharani
131,"00:05:49,740","00:05:50,090",speaker_1,వ్యాధి,vyaadhi,#Tanikella Bharani
132,"00:05:50,360","00:05:52,490",speaker_4,ఈ నాలుగు bodyలు బ్రతికుండగా చాలా గోరాలు చేశాయ్,ee naalugu bodylu brathikundagaa chaalaa goraalu cheshaay,
133,"00:05:52,959","00:05:54,590",speaker_4,cityలో సగం crimesకి వీళ్ళే కారణం,citylo sagam crimeski veelle kaaranam,
134,"00:05:55,060","00:05:56,830",speaker_4,మొన్న metro trainలో జరిగిన rape case అయితేనేమి,monna metro trainlo jarigina rape case ayithenemi,
135,"00:05:57,339","00:06:00,269",speaker_4,కొండాపురం brothers murder case అయితేనేమి వీళ్ళు చేయని నీచం అంటూ,kondaapuram brothers murder case ayithenemi veellu cheyani neecham antoo,
136,"00:06:00,319","00:06:00,670",speaker_4,లేదు,ledhu,
137,"00:06:00,860","00:06:01,689",speaker_4,మన time బావుండో,mana time baavundo,
138,"00:06:02,100","00:06:02,950",speaker_4,వాళ్ళ time బాగోకో,vaalla time baagoko,
139,"00:06:03,600","00:06:04,660",speaker_4,ఇలా bodiesగా తేలారు,ilaa bodiesgaa thelaaru,
140,"00:06:06,097","00:06:06,617",speaker_5,బాగుందా? ఇంకో,baagundhaa? inko,
141,"00:06:06,668","00:06:07,137",speaker_5,టేక్ చేద్దామా?,tek chedhdhaamaa?,
142,"00:06:07,187","00:06:07,737",speaker_6,బాగుంది సర్.,baagundhi sar.,
143,"00:06:07,987","00:06:08,338",speaker_5,అదేంటయ్యా?,adhentayyaa?,
144,"00:06:08,987","00:06:10,278",speaker_5,మొన్న అన్న నువ్వు మరీ లావుగా చూపించావ్.,monna anna nuvvu maree laavugaa choopinchaav.,
145,"00:06:10,848","00:06:11,737",speaker_5,కాస్త కేర్ తీసుకోండమ్మా.,kaastha ker theesukondammaa.,
146,"00:06:12,348","00:06:12,998",speaker_5,ఇంట్రెస్ట్ పెట్టండి.,intresta్ pettandi.,
147,"00:06:14,088","00:06:14,817",speaker_5,నమస్తే నాయక్ సాబ్.,namasthe naayak saab.,
148,"00:06:14,867","00:06:15,218",speaker_6,ఉమ్,um,
149,"00:06:15,408","00:06:16,018",speaker_5,మీరేంటి ఇక్కడ?,meerenti ikkada?,
150,"00:06:16,387","00:06:17,358",speaker_5,ఈ ఏరియా మాది కదా.,ee yeriyaa maadhi kadhaa.,
151,"00:06:17,447","00:06:18,558",speaker_6,ఆ ఏరియా మీదయినా,aa yeriyaa meedhayinaa,
152,"00:06:18,848","00:06:19,798",speaker_6,ఎదోళ్ళు మా వాళ్ళు కదా.,yedhollu maa vaallu kadhaa.,
153,"00:06:19,927","00:06:20,518",speaker_6,రాక తప్పలేదు.,raaka thappaledhu.,
154,"00:06:20,807","00:06:22,918",speaker_5,ఇలా అన్ని కేసులు యాంటీ గూండా స్క్వాడ్ అని మీరే తీసేసుకుంటే,ilaa anni kesulu yaantee goondaa ska్vaad ani meere theesesukunte,
155,"00:06:23,557","00:06:25,158",speaker_5,ఇక మా లోకల్ వాళ్ళకి పని ఏముంటుంది చెప్పండి.,ika maa lokal vaallaki pani yemuntundhi cheppandi.,
156,"00:06:25,208","00:06:25,558",speaker_6,కరెక్ట్,karekt,
157,"00:06:25,887","00:06:26,858",speaker_6,అయితే మీ వాళ్ళకి చెప్పి,ayithe mee vaallaki cheppi,
158,"00:06:27,228","00:06:28,177",speaker_6,విడివిడిగా కాపీ తెప్పించండి.,vidividigaa kaapee theppinchandi.,
159,"00:06:28,507","00:06:28,737",speaker_6,ఓకే.,oke.,
160,"00:06:28,788","00:06:29,138",speaker_5,అంటే,ante,
161,"00:06:29,687","00:06:31,358",speaker_5,కాఫీలు మేము తెప్పిస్తే కేసులు మీరు తీసుకుంటారా?,kaapheelu memu theppisthe kesulu meeru theesukuntaaraa?,
162,"00:06:31,648","00:06:32,478",speaker_6,హహహ పాపం,hahaha paapam,
163,"00:06:33,288","00:06:33,898",speaker_6,వీడిని చూడండి.,veedini choodandi.,
164,"00:06:34,507","00:06:34,858",speaker_6,ఇందాకట్నుంచి,indhaakatnunchi,
165,"00:06:35,168","00:06:37,058",speaker_6,కేసు మీరు డీల్ చేస్తారా? మేము డీల్ చేస్తామా?,kesu meeru deel chesthaaraa? memu deel chesthaamaa?,
166,"00:06:37,427","00:06:38,658",speaker_6,అని కన్ఫ్యూజన్తో ఎలా చూస్తున్నాడో.,ani kanphyoojantho yelaa choosthunnaado.,
167,"00:06:39,067","00:06:41,637",speaker_5,వాడు పొద్దున్నుంచి అలాగే చూస్తున్నాడు గానీ మీరు ఇలా కాఫీలు టీలు,vaadu podhdhunnunchi alaage choosthunnaadu gaanee meeru ilaa kaapheelu teelu,
168,"00:06:41,687","00:06:42,677",speaker_5,నాకు పొరపాటు చేయడం ఏం బాలేదండి.,naaku porapaatu cheyadam yem baaledhandi.,
169,"00:06:43,007","00:06:43,327",speaker_6,సర్,sar,
170,"00:06:43,387","00:06:43,767",speaker_5,ఉమ్,um,
171,"00:06:43,827","00:06:44,498",speaker_6,మీరు రండి సర్.,meeru randi sar.,
172,"00:06:44,728","00:06:47,418",speaker_6,వీడు ఇంతే ఎవరి మాట వినడు. కరెక్ట్ అందుకే నన్ను మంటెల్ నాయక్ అని,veedu inthe yevari maata vinadu. karekt andhuke nannu mantel naayak ani,
173,"00:06:47,468","00:06:48,038",speaker_6,కూడా అంటారు.,koodaa antaaru.,
174,"00:06:48,088","00:06:49,598",speaker_5,ఆ అబ్బే మీ గురించి కాదు సర్,aa abbe mee gurinchi kaadhu sar,
175,"00:06:49,827","00:06:50,458",speaker_5,మీడియా గురించి.,meediyaa gurinchi.,
176,"00:06:50,708","00:06:52,128",speaker_5,ఇగో పుల్లారావు రా టీవీ నైనా ఇక్కడ.,igo pullaaraavu raa teevee nainaa ikkada.,
177,"00:06:53,387","00:06:54,098",speaker_6,ఓయ్ ఉమ్,oy um,
178,"00:06:54,427","00:06:54,798",speaker_6,ఉమ్ ఉమ్.,um um.,
179,"00:07:00,148","00:07:00,487",speaker_6,రత్నం,rathnam,
180,"00:07:00,747","00:07:00,947",speaker_7,సర్,sar,
181,"00:07:01,408","00:07:02,918",speaker_6,ఆ బ్లాస్ట్ అయిన కంటైనర్ ని చూశావా?,aa blaasta్ ayina kantainar ni chooshaavaa?,
182,"00:07:03,088","00:07:04,247",speaker_7,నిన్న రాత్రే అది బ్లాస్ట్ అయింది సర్.,ninna raathre adhi blaasta్ ayindhi sar.,
183,"00:07:04,307","00:07:05,117",speaker_6,అక్కడ మొదలైంది,akkada modhalaindhi,
184,"00:07:05,288","00:07:05,638",speaker_6,రచ్చ.,rachha.,
185,"00:08:45,307","00:08:45,707",speaker_6,రత్నం,rathnam,
186,"00:08:46,008","00:08:46,197",speaker_7,సర్,sar,
187,"00:08:47,008","00:08:47,878",speaker_6,వీడిని ఎలా చంపాడంటే,veedini yelaa champaadante,
188,"00:10:04,028","00:10:04,827",speaker_7,నన్ను వదిలేయ్ ప్లీజ్,nannu vadhiley pleej,
189,"00:10:06,727","00:10:07,028",speaker_5,సర్ రా,sar raa,
190,"00:10:07,847","00:10:08,538",speaker_5,నేను ఒకటి వదిలేస్తా,nenu okati vadhilesthaa,
191,"00:10:08,868","00:10:09,457",speaker_5,నువ్వొకటి వదిలేయ్.,nuvvokati vadhiley.,
192,"00:10:09,607","00:10:09,957",speaker_7,ఏంటేది?,yentedhi?,
193,"00:10:10,288","00:10:11,098",speaker_5,నేను బుల్లెట్ వదిలేస్తా.,nenu bullet vadhilesthaa.,
194,"00:10:11,467","00:10:12,228",speaker_5,నువ్వు ప్రాణాలు వదిలేయ్.,nuvvu praanaalu vadhiley.,
195,"00:10:14,008","00:10:15,607",speaker_7,అయితే లాస్ట్ చంపింది వీడినేనా సర్?,ayithe laasta్ champindhi veedinenaa sar?,
196,"00:10:15,668","00:10:16,018",speaker_6,ఉమ్,um,
197,"00:10:16,788","00:10:17,858",speaker_6,చివరి ముత్తైదువు వీడేనయ్యా.,chivari muththaidhuvu veedenayyaa.,
198,"00:10:18,548","00:10:21,258",speaker_6,ఉండమ్మా బొట్టు పెడతా అన్నట్టు బొట్లు మాత్రం బాగా పెట్టాడు.,undammaa bottu pedathaa annattu botlu maathram baagaa pettaadu.,
199,"00:10:21,587","00:10:21,937",speaker_5,ఏంటే,yente,
200,"00:10:22,128","00:10:22,478",speaker_5,బ్రహ్మంగారు,brahmangaaru,
201,"00:10:22,668","00:10:23,018",speaker_5,కాలజ్ఞానం,kaalagnaanam,
202,"00:10:23,168","00:10:23,838",speaker_5,చెప్పినట్టు చెప్పేస్తున్నాడు.,cheppinattu cheppesthunnaadu.,
203,"00:10:24,248","00:10:24,907",speaker_7,వస్తున్నాడు సర్.,vasthunnaadu sar.,
204,"00:10:24,988","00:10:25,218",speaker_5,ఆ,aa,
205,"00:10:25,268","00:10:26,208",speaker_7,వీళ్ళని ఎందుకు చంపుతున్నాడు సర్?,veellani yendhuku champuthunnaadu sar?,
206,"00:10:26,258","00:10:27,137",speaker_6,అన్ని వివరంగా తెలుస్తాయి,anni vivarangaa thelusthaayi,
207,"00:10:27,427","00:10:27,778",speaker_6,తెలుస్తాయి.,thelusthaayi.,
208,"00:10:28,207","00:10:29,018",speaker_6,పోలీసోడికి ఇన్వెస్టిగేషన్,poleesodiki investigeshan,
209,"00:10:29,227","00:10:29,978",speaker_6,తో పాటు ఇమాజినేషన్,tho paatu imaajineshan,
210,"00:10:30,128","00:10:30,478",speaker_6,కూడా ఉండాలి.,koodaa undaali.,
211,"00:10:30,528","00:10:30,927",speaker_7,సర్ అది,sar adhi,
212,"00:10:32,107","00:10:32,638",speaker_5,ఎలా వినపడతాయో,yelaa vinapadathaayo,
213,"00:10:32,788","00:10:33,187",speaker_5,బాబు వీడికి,baabu veediki,
214,"00:10:33,327","00:10:34,918",speaker_6,మనోహర్ ఇప్పుడు ఆ కేసు ఏం చేద్దామంటే,manohar ippudu aa kesu yem chedhdhaamante,
215,"00:10:39,727","00:10:40,438",speaker_7,గుడ్ మార్నింగ్ సర్.,gud maarning sar.,
216,"00:10:40,488","00:10:41,158",speaker_6,ఉమ్ మార్నింగ్.,um maarning.,
217,"00:10:41,607","00:10:41,957",speaker_6,కూర్చోండి.,koorchondi.,
218,"00:10:43,187","00:10:45,338",speaker_6,చెప్పండి ఆనంద్ సాబ్ ఎలా ఉంది మీ రియల్ ఎస్టేట్ బిజినెస్?,cheppandi aanandh saab yelaa undhi mee riyal yestet bijines?,
219,"00:10:45,648","00:10:46,697",speaker_7,చాలా డల్ గా ఉంది సర్.,chaalaa dal gaa undhi sar.,
220,"00:10:46,947","00:10:47,298",speaker_6,ఉమ్,um,
221,"00:10:47,648","00:10:49,197",speaker_6,బుకింగ్స్ తగ్గాయి కాల్స్ పెరిగాయి.,bukings thaggaayi kaals perigaayi.,
222,"00:10:49,567","00:10:50,307",speaker_7,కాల్స్ ఏంటి సర్?,kaals yenti sar?,
223,"00:10:50,607","00:10:52,718",speaker_6,గ్యాంగ్ లో నాలుగు డబ్బులు సంపాదించిన,gyaang lo naalugu dabbulu sampaadhinchina,
